State,7/31/2020,7/24/2020,7/17/2020,7/10/2020,7/3/2020,6/26/2020,6/19/2020,6/12/2020,6/5/2020,5/29/2020,5/22/2020,5/15/2020,5/8/2020,5/1/2020,4/24/2020,4/17/2020,4/10/2020,4/3/2020,3/27/2020,3/20/2020,3/13/2020,3/6/2020,2/28/2020,2/21/2020,2/14/2020,2/7/2020,1/31/2020,1/24/2020,1/17/2020,1/10/2020,1/3/2020,12/27/2019,12/20/2019,12/13/2019,12/6/2019,11/29/2019,11/22/2019,11/15/2019,11/8/2019,11/1/2019,10/25/2019,10/18/2019,10/11/2019,10/4/2019,9/27/2019,9/20/2019,9/13/2019,9/6/2019,8/30/2019,8/23/2019,8/16/2019,8/9/2019,8/2/2019,7/26/2019,7/19/2019,7/12/2019,7/5/2019,6/28/2019,6/21/2019,6/14/2019,6/7/2019,5/31/2019
Alabama,11148,17437,23676,20563,19056,18338,18671,18367,19949,21335,27919,25150,26666,28985,74966,66432,77515,106739,80984,10892,1819,1663,1575,1735,1981,2176,2170,2129,2483,3629,4578,3200,3163,2362,3227,2032,2290,1888,2208,1977,1984,1703,2161,2057,1879,1999,2081,1769,2135,2055,2123,2195,2425,2292,2785,4293,2363,3278,2380,2422,2790,2929
Alaska,5407,6069,6606,9572,6124,6467,6757,6797,7081,7452,8152,7741,7807,8718,10313,12201,12007,14590,13774,7847,1120,815,874,773,915,980,1122,1003,1181,1371,981,860,1027,949,1146,941,1243,1194,1319,1166,1109,1005,1184,856,866,808,716,687,682,701,698,693,682,619,649,696,552,689,754,733,909,973
Arizona,16351,19063,21441,28695,25774,26328,25886,22419,24367,22012,26868,31957,31570,43023,52581,72457,98531,132428,88940,29348,3844,3357,3086,3151,3538,3636,3807,3475,4152,4654,3132,2155,3294,3296,4113,2527,3730,3701,3952,3966,3880,3510,3916,3775,3757,3681,3643,3336,3622,3535,3514,3857,3908,4019,4549,5723,4412,4208,4177,4219,4670,4078
Arkansas,12267,15257,15932,14155,10832,10395,9669,9381,9663,8481,10825,11427,13152,13448,17671,25404,35629,62086,27756,9275,1382,1843,1418,1055,1602,1724,1837,1683,1729,2493,2576,3545,2579,1809,2436,2567,1752,1780,1731,2189,1610,1404,1499,1884,1346,1296,1349,2122,1454,1601,1422,1586,1343,1437,1516,1757,2938,1564,1492,1736,3049,2602
California,228530,244653,289594,284914,264791,277362,284494,241424,255836,228634,203262,244431,212667,316257,325343,528360,655472,918814,1058325,186333,57606,43385,41678,34979,43445,40392,43458,45596,64858,51993,36720,34301,49943,47521,48434,36457,49133,40749,45816,39332,41081,39191,40182,33326,33226,35161,34650,30771,34358,34596,35430,41404,36041,38438,39341,39061,35194,42404,44396,38753,41288,34781
Colorado,7037,8037,8531,10554,7928,8646,10013,10382,13098,12519,15719,18054,22732,28360,38662,67639,104572,46326,61838,19774,2321,1865,1681,1862,2209,2482,2049,2164,2522,3001,2431,1723,2360,2279,3162,1910,2302,2141,2318,3112,1849,1879,2002,1967,1429,1418,1467,1465,1510,1486,1471,1542,1512,1460,1506,1809,1450,1355,1537,1517,1978,1613
Connecticut,10572,11181,11667,9955,12267,10133,10411,11852,15366,14208,16603,25960,30046,36138,33041,102808,34050,33464,33227,25100,3440,2527,2843,2435,2520,2944,2994,2949,3776,5986,7852,4684,5058,4343,4291,3469,3152,2630,2859,2524,2285,2237,2531,2308,2030,2248,2497,2147,2206,2523,2712,3063,2662,2189,2603,3255,3551,5107,6799,3080,2517,2124
Delaware,1998,2563,2720,3167,2791,2771,2797,2516,3037,3052,4651,5554,5197,6297,7947,9446,13258,18851,19137,10776,472,518,524,632,610,608,622,674,830,1107,875,1439,902,765,1099,673,594,612,627,560,567,525,550,460,491,438,460,427,445,435,467,481,459,491,532,665,529,650,886,1112,670,390
Florida,73955,91462,108976,132831,66941,84370,95683,88148,112161,207707,175411,225404,223082,174860,433103,506670,180419,169885,228484,74313,6463,5325,4853,4861,5229,5605,5457,5206,6088,6862,4618,3807,5337,5375,5681,3817,5662,5252,6028,5484,5402,5451,5982,6072,5388,5972,6543,5013,5646,6305,6009,6509,6437,6491,6919,7710,7150,6845,7025,7509,8581,5971
Georgia(S),72695,84984,122313,138452,105160,117485,125725,131997,135254,149163,165499,177731,242772,228352,266565,247003,319581,390132,133820,12140,5445,4569,5538,5030,6277,5577,5199,5257,8161,17962,17060,4131,4885,6595,9592,3961,5780,3934,5417,5207,6255,4431,5100,4843,4534,4262,5208,3645,4797,4450,3913,4395,4402,4275,6107,9065,5234,4336,4412,4332,5366,4474
Hawaii,5195,5885,7581,7668,7648,8193,7178,7248,7338,7702,9140,10964,12329,15177,22496,26591,34717,53102,48596,8817,1589,1275,1049,1020,1199,1137,1135,1014,1234,1826,1825,1245,1110,1052,1435,963,1120,976,1131,955,1123,1298,1150,1268,1033,936,1141,1080,1058,1136,1011,1217,1136,1062,1068,1320,1439,1086,1280,1303,1571,994
Idaho,3402,4703,5687,5458,4924,5417,4285,3631,3953,3646,4727,5800,5795,7495,8827,13023,18531,30904,32941,13586,1031,938,998,1114,1356,1443,1446,1821,2172,2131,2957,2191,1972,2462,2274,1567,1197,1255,1289,966,887,883,826,712,654,661,637,733,700,701,755,742,643,649,649,772,1083,866,740,834,988,995
Illinois,24712,33230,36435,38261,39015,45752,46276,44694,44606,46385,58263,72780,72671,74476,101322,118996,140787,202157,185575,126716,11305,8727,8980,11812,8045,9794,9343,9762,14807,12703,11779,16537,16669,15076,14798,10233,11266,13989,11015,10705,8307,7551,7543,8465,6793,6538,6614,7180,11104,7376,6991,7209,7546,10355,7986,7249,9137,8038,8100,8838,10583,8551
Indiana,12533,20129,17911,28360,22102,44827,29331,24017,22931,22914,25523,29436,29668,42290,55774,72756,113755,127010,139174,59755,2596,2223,2276,2979,2556,2725,3016,2956,3741,4890,4434,3418,3911,3411,4033,2312,3053,2725,3064,2381,2138,2116,2749,2672,2319,2797,2001,1986,1979,1989,2043,2518,2129,2051,2283,3527,2090,2225,1960,2120,2821,2101
Iowa,6765,6970,8811,10653,9957,7732,8208,9069,9488,6449,13723,12056,15820,23241,27220,26901,43889,64194,55966,40952,2229,2221,2240,2631,2239,2379,3066,3115,3615,4836,4586,10338,7357,4934,5531,4988,3794,4579,2927,2851,2945,2296,2117,2228,2245,1738,1692,1787,1769,2099,1805,2349,2271,2380,1835,2635,3307,2123,1781,2120,2569,2195
Kansas,9319,10462,9389,13368,11458,9738,9179,8287,8261,10028,11232,11238,12234,15959,24483,30596,29873,49306,54330,23563,1755,1365,1517,1494,2076,2107,2000,2557,2402,2140,2019,3059,3096,1825,2176,1236,1620,1413,1457,1346,1316,1132,1245,1318,1206,2602,1127,1289,2166,1183,1172,1325,1398,1360,1366,2657,2419,1516,1292,1436,1512,1533
Kentucky,20813,21041,24488,24544,23282,30640,24846,37650,40733,43013,53738,47321,69372,82435,91223,103981,116277,117575,113149,49023,2785,2463,2223,2508,2813,2936,2625,2569,3084,3968,5175,6211,4603,3663,3593,3187,2972,2273,2352,2056,2143,2359,2636,2421,2373,2236,1875,1788,1842,1974,2235,2457,2034,2042,5388,5442,6070,3555,3086,1936,2201,2403
Louisiana,12490,18511,32079,26351,31417,21976,19524,23122,21879,19334,23961,28545,40125,50941,66141,91923,79653,100621,97400,72438,2255,1698,1509,1798,1739,1805,2058,1878,2008,2521,1658,1469,2218,2227,2448,1507,1903,2102,2272,1762,1867,1792,2069,1961,1612,1653,1806,1683,1881,1972,1994,2081,2126,2022,2349,2410,1844,2206,2238,2372,2818,2800
Maine,1602,2014,2276,4696,2939,3119,2911,3013,3117,11151,16667,4726,5579,6993,7661,11769,13488,30910,23770,21459,634,715,862,737,790,702,881,944,959,1561,1663,985,1123,1304,1351,732,944,785,839,721,660,419,480,414,367,382,414,388,388,350,363,447,466,565,493,708,441,531,536,437,520,351
Maryland,9762,13038,17242,19516,33230,22628,32583,23465,41695,31967,34048,35346,45664,63305,37995,48570,63235,109653,85377,42982,3864,2675,2626,2700,3048,3150,3203,3283,3739,4627,3997,6222,4706,3476,4055,2951,3007,2803,3242,2872,2768,2502,2873,2678,2565,2469,2621,2502,2513,2706,2800,3101,3175,2757,2900,3102,3155,3897,5100,3360,3060,2630
Massachusetts,15218,19646,18638,24131,27051,29699,30005,30411,45142,27630,38332,38684,44915,55884,71358,80969,103813,139647,181423,148452,7449,4712,4865,9264,5393,5878,5523,6022,6940,8784,9464,13251,9284,9017,10239,6142,6452,5397,6217,5129,4683,4139,4560,4378,3672,3774,4028,4255,4025,4036,4039,4536,4193,3903,4326,4905,5747,6964,9275,4615,4443,3797
Michigan,17029,23219,24596,27720,34602,38309,19641,21293,27836,39290,64574,56715,55166,67399,82004,136707,222207,388554,304335,128006,5338,5150,5419,5942,5587,6627,6869,7678,10304,14245,13207,18896,10838,10201,10520,8005,9288,8872,7559,6072,5571,6180,7267,6803,7406,7831,3573,3988,4353,3791,4056,4272,4434,5119,9548,8058,13619,6890,5219,4719,5010,4112
