,Abb,EV_Rep,EV_Dem,PV_Rep,PV_Dem,PV_Other,PV_Total,State,State Capital,Per_Rep,Per_Dem,Per_Other
0,AL,9,,1318255,729547,75570,2123372,Alabama,Montgomery,62.08,34.36,3.56
1,AK,3,,163387,116454,38767,318608,Alaska,Juneau,51.28,36.55,12.17
2,AZ,11,,1252401,1161167,159597,2573165,Arizona,Phoenix,48.67,45.13,6.2
3,AR,6,,684872,380494,65310,1130676,Arkansas,Little Rock,60.57,33.65,5.78
4,CA,,55,4483814,8753792,943998,14181604,California,Sacramento,31.62,61.73,6.66
5,CO,,9,1202484,1338870,238893,2780247,Colorado,Denver,43.25,48.16,8.59
6,CT,,7,673215,897572,74133,1644920,Connecticut,Hartford,40.93,54.57,4.51
7,DE,,3,185127,235603,23084,443814,Delaware,Dover,41.71,53.09,5.2
8,DC,,3,12723,282830,15715,311268,District of Columbia,,4.09,90.86,5.05
9,FL,29,,4617886,4504975,297178,9420039,Florida,Tallahassee,49.02,47.82,3.15
10,GA,16,,2089104,1877963,147665,4114732,Georgia,Atlanta,50.77,45.64,3.59
11,HI,,3**,128847,266891,33199,428937,Hawaii,Honolulu,30.04,62.22,7.74
12,ID,4,,409055,189765,91435,690255,Idaho,Boise,59.26,27.49,13.25
13,IL,,20,2146015,3090729,299680,5536424,Illinois,Springfield,38.76,55.83,5.41
14,IN,11,,1557286,1033126,144546,2734958,Indiana,Indianapolis,56.94,37.77,5.29
15,IA,6,,800983,653669,111379,1566031,Iowa,Des Moines,51.15,41.74,7.11
16,KS,6,,671018,427005,86379,1184402,Kansas,Topeka,56.65,36.05,7.29
17,KY,8,,1202971,628854,92324,1924149,Kentucky,Frankfort,62.52,32.68,4.8
18,LA,8,,1178638,780154,70240,2029032,Louisiana,Baton Rouge,58.09,38.45,3.46
19,ME,1,3,335593,357735,54599,747927,Maine,Augusta,44.87,47.83,7.3
20,MD,,10,943169,1677928,160349,2781446,Maryland,Annapolis,33.91,60.33,5.76
21,MA,,11,1090893,1995196,238957,3325046,Massachusetts,Boston,32.81,60.01,7.19
22,MI,16,,2279543,2268839,250902,4799284,Michigan,Lansing,47.5,47.27,5.23
23,MN,,10,1322951,1367716,254146,2944813,Minnesota,St. Paul,44.92,46.44,8.63
24,MS,6,,700714,485131,23512,1209357,Mississippi,Jackson,57.94,40.11,1.94
25,MO,10,,1594511,1071068,143026,2808605,Missouri,Jefferson City,56.77,38.14,5.09
26,MT,3,,279240,177709,40198,497147,Montana,Helena,56.17,35.75,8.09
27,NE,5,,495961,284494,63772,844227,Nebraska,Lincoln,58.75,33.7,7.55
28,NV,,6,512058,539260,74067,1125385,Nevada,Carson City,45.5,47.92,6.58
29,NH,,4,345790,348526,49980,744296,New Hampshire,Concord,46.46,46.83,6.72
30,NJ,,14,1601933,2148278,123835,3874046,New Jersey,Trenton,41.35,55.45,3.2
31,NM,,5,319667,385234,93418,798319,New Mexico,Santa Fe,40.04,48.26,11.7
32,NY,,29,2819533,4556118,345791,7721442,New York,Albany,36.52,59.01,4.48
33,NC,15,,2362631,2189316,189617,4741564,North Carolina,Raleigh,49.83,46.17,4.0
34,ND,3,,216794,93758,33808,344360,North Dakota,Bismarck,62.96,27.23,9.82
35,OH,18,,2841005,2394164,261318,5496487,Ohio,Columbus,51.69,43.56,4.75
36,OK,7,,949136,420375,83481,1452992,Oklahoma,Oklahoma City,65.32,28.93,5.75
37,OR,,7,782403,1002106,216827,2001336,Oregon,Salem,39.09,50.07,10.83
38,PA,20,,2970733,2926441,268304,6165478,Pennsylvania,Harrisburg,48.18,47.46,4.35
39,RI,,4,180543,252525,31076,464144,Rhode Island,Providence,38.9,54.41,6.7
40,SC,9,,1155389,855373,92265,2103027,South Carolina,Columbia,54.94,40.67,4.39
41,SD,3,,227721,117458,24914,370093,South Dakota,Pierre,61.53,31.74,6.73
42,TN,11,,1522925,870695,114407,2508027,Tennessee,Nashville,60.72,34.72,4.56
43,TX,36*,,4685047,3877868,406311,8969226,Texas,Austin,52.23,43.24,4.53
44,UT,6,,515231,310676,305523,1131430,Utah,Salt Lake City,45.54,27.46,27.0
45,VT,,3,95369,178573,41125,315067,Vermont,Montpelier,30.27,56.68,13.05
46,VA,,13,1769443,1981473,233715,3984631,Virginia,Richmond,44.41,49.73,5.87
47,WA,,8**,1221747,1742718,352554,3317019,Washington,Olympia,36.83,52.54,10.63
48,WV,5,,489371,188794,36258,714423,West Virginia,Charleston,68.5,26.43,5.08
49,WI,10,,1405284,1382536,188330,2976150,Wisconsin,Madison,47.22,46.45,6.33
50,WY,3,,174419,55973,25457,255849,Wyoming,Cheyenne,68.17,21.88,9.95
