year,month,state,total_cases,total_deaths
2020,1,Arizona,6,0
2020,1,California,14,0
2020,1,Illinois,10,0
2020,1,Washington,11,0
2020,2,Arizona,29,0
2020,2,California,285,0
2020,2,Illinois,59,0
2020,2,Massachusetts,29,0
2020,2,Nebraska,151,0
2020,2,Oregon,2,0
2020,2,Texas,91,0
2020,2,Utah,5,0
2020,2,Washington,60,1
2020,2,Wisconsin,25,0
2020,3,Alabama,6129,42
2020,3,Alaska,851,8
2020,3,Arizona,6830,118
2020,3,Arkansas,3965,36
2020,3,California,55406,1113
2020,3,Colorado,18603,344
2020,3,Connecticut,14606,283
2020,3,Delaware,1887,31
2020,3,District of Columbia,2923,41
2020,3,Florida,35597,489
2020,3,Georgia,22119,699
2020,3,Guam,594,11
2020,3,Hawaii,1474,1
2020,3,Idaho,2359,34
2020,3,Illinois,33167,450
2020,3,Indiana,10152,313
2020,3,Iowa,2794,26
2020,3,Kansas,2408,60
2020,3,Kentucky,3398,84
2020,3,Louisiana,28913,1137
2020,3,Maine,2110,13
2020,3,Maryland,8831,84
2020,3,Massachusetts,34418,340
2020,3,Michigan,39225,967
2020,3,Minnesota,4480,47
2020,3,Mississippi,5791,88
2020,3,Missouri,6536,96
2020,3,Montana,1200,12
2020,3,Nebraska,1682,13
2020,3,Nevada,6859,123
2020,3,New Hampshire,2232,17
2020,3,New Jersey,92534,1165
2020,3,New Mexico,1989,16
2020,3,New York,464981,7943
2020,3,North Carolina,8617,32
2020,3,North Dakota,787,9
2020,3,Northern Mariana Islands,8,0
2020,3,Ohio,12114,219
2020,3,Oklahoma,3069,101
2020,3,Oregon,4621,129
2020,3,Pennsylvania,23859,268
2020,3,Puerto Rico,995,35
2020,3,Rhode Island,2570,17
2020,3,South Carolina,6329,127
2020,3,South Dakota,711,22
2020,3,Tennessee,12360,59
2020,3,Texas,20623,270
2020,3,Utah,5562,20
2020,3,Vermont,1850,93
2020,3,Virgin Islands,230,0
2020,3,Virginia,6976,162
2020,3,Washington,46214,2377
2020,3,West Virginia,866,3
2020,3,Wisconsin,9353,135
2020,3,Wyoming,776,0
2020,4,Alabama,125166,4044
2020,4,Alaska,8231,173
2020,4,Arizona,128668,4870
2020,4,Arkansas,53571,1007
2020,4,California,865585,30176
2020,4,Colorado,264026,11715
2020,4,Connecticut,467204,29752
2020,4,Delaware,67480,1840
2020,4,District of Columbia,70950,2651
2020,4,Florida,671158,19495
2020,4,Georgia,453331,18051
2020,4,Guam,20795,156
2020,4,Hawaii,14988,274
