state,unempt_rate,year,month
Alabama,3.6,2019,M01
Alaska,6.1,2019,M01
Arizona,4.9,2019,M01
Arkansas,3.6,2019,M01
California,4.3,2019,M01
Colorado,3.2,2019,M01
Connecticut,3.8,2019,M01
Delaware,3.5,2019,M01
District of Columbia,5.8,2019,M01
Florida,3.4,2019,M01
Georgia,3.8,2019,M01
Hawaii,2.8,2019,M01
Idaho,2.9,2019,M01
Illinois,4.4,2019,M01
Indiana,3.6,2019,M01
Iowa,2.7,2019,M01
Kansas,3.3,2019,M01
Kentucky,4.2,2019,M01
Louisiana,4.7,2019,M01
Maine,3.2,2019,M01
Maryland,3.8,2019,M01
Massachusetts,3.1,2019,M01
Michigan,4.2,2019,M01
Minnesota,3.2,2019,M01
Mississippi,5.1,2019,M01
Missouri,3.2,2019,M01
Montana,3.5,2019,M01
Nebraska,3.0,2019,M01
Nevada,4.2,2019,M01
New Hampshire,2.5,2019,M01
New Jersey,3.7,2019,M01
New Mexico,5.0,2019,M01
New York,4.0,2019,M01
North Carolina,4.0,2019,M01
North Dakota,2.3,2019,M01
Ohio,4.3,2019,M01
Oklahoma,3.3,2019,M01
Oregon,4.2,2019,M01
Pennsylvania,4.1,2019,M01
Puerto Rico,8.6,2019,M01
Rhode Island,3.7,2019,M01
South Carolina,3.4,2019,M01
South Dakota,3.1,2019,M01
Tennessee,3.4,2019,M01
Texas,3.7,2019,M01
Utah,2.9,2019,M01
Vermont,2.4,2019,M01
Virginia,3.0,2019,M01
Washington,4.5,2019,M01
West Virginia,4.9,2019,M01
Wisconsin,3.1,2019,M01
Wyoming,3.5,2019,M01
Alabama,3.5,2019,M02
Alaska,6.1,2019,M02
Arizona,4.9,2019,M02
Arkansas,3.6,2019,M02
California,4.3,2019,M02
Colorado,3.1,2019,M02
Connecticut,3.8,2019,M02
Delaware,3.5,2019,M02
District of Columbia,5.8,2019,M02
Florida,3.4,2019,M02
Georgia,3.7,2019,M02
Hawaii,2.8,2019,M02
Idaho,2.9,2019,M02
Illinois,4.3,2019,M02
Indiana,3.5,2019,M02
Iowa,2.7,2019,M02
Kansas,3.3,2019,M02
Kentucky,4.2,2019,M02
Louisiana,4.6,2019,M02
Maine,3.2,2019,M02
Maryland,3.7,2019,M02
Massachusetts,3.1,2019,M02
Michigan,4.2,2019,M02
Minnesota,3.2,2019,M02
Mississippi,5.2,2019,M02
Missouri,3.2,2019,M02
Montana,3.5,2019,M02
Nebraska,3.1,2019,M02
Nevada,4.1,2019,M02
New Hampshire,2.5,2019,M02
New Jersey,3.6,2019,M02
New Mexico,5.0,2019,M02
New York,4.0,2019,M02
North Carolina,4.1,2019,M02
North Dakota,2.3,2019,M02
Ohio,4.2,2019,M02
Oklahoma,3.3,2019,M02
Oregon,4.2,2019,M02
Pennsylvania,4.1,2019,M02
Puerto Rico,8.7,2019,M02
Rhode Island,3.7,2019,M02
South Carolina,3.4,2019,M02
South Dakota,3.1,2019,M02
Tennessee,3.4,2019,M02
Texas,3.6,2019,M02
Utah,2.8,2019,M02
Vermont,2.3,2019,M02
Virginia,3.0,2019,M02
Washington,4.5,2019,M02
West Virginia,4.8,2019,M02
Wisconsin,3.2,2019,M02
Wyoming,3.5,2019,M02
Alabama,3.3,2019,M03
Alaska,6.1,2019,M03
Arizona,4.8,2019,M03
Arkansas,3.5,2019,M03
California,4.2,2019,M03
Colorado,3.0,2019,M03
Connecticut,3.7,2019,M03
Delaware,3.6,2019,M03
District of Columbia,5.7,2019,M03
Florida,3.4,2019,M03
Georgia,3.7,2019,M03
Hawaii,2.8,2019,M03
Idaho,2.9,2019,M03
Illinois,4.3,2019,M03
Indiana,3.5,2019,M03
Iowa,2.7,2019,M03
Kansas,3.2,2019,M03
Kentucky,4.2,2019,M03
Louisiana,4.5,2019,M03
Maine,3.1,2019,M03
Maryland,3.7,2019,M03
Massachusetts,3.0,2019,M03
Michigan,4.3,2019,M03
Minnesota,3.2,2019,M03
Mississippi,5.3,2019,M03
Missouri,3.2,2019,M03
Montana,3.5,2019,M03
Nebraska,3.1,2019,M03
Nevada,4.1,2019,M03
New Hampshire,2.5,2019,M03
New Jersey,3.5,2019,M03
New Mexico,5.0,2019,M03
New York,4.0,2019,M03
North Carolina,4.1,2019,M03
North Dakota,2.3,2019,M03
Ohio,4.1,2019,M03
Oklahoma,3.2,2019,M03
Oregon,4.1,2019,M03
Pennsylvania,4.1,2019,M03
Puerto Rico,8.6,2019,M03
Rhode Island,3.6,2019,M03
South Carolina,3.4,2019,M03
South Dakota,3.2,2019,M03
Tennessee,3.5,2019,M03
Texas,3.5,2019,M03
Utah,2.8,2019,M03
Vermont,2.3,2019,M03
Virginia,2.9,2019,M03
Washington,4.5,2019,M03
West Virginia,4.8,2019,M03
Wisconsin,3.2,2019,M03
Wyoming,3.4,2019,M03
Alabama,3.2,2019,M04
Alaska,6.1,2019,M04
Arizona,4.8,2019,M04
Arkansas,3.5,2019,M04
California,4.2,2019,M04
Colorado,2.9,2019,M04
Connecticut,3.7,2019,M04
Delaware,3.6,2019,M04
District of Columbia,5.6,2019,M04
Florida,3.3,2019,M04
Georgia,3.6,2019,M04
Hawaii,2.7,2019,M04
Idaho,2.9,2019,M04
Illinois,4.2,2019,M04
Indiana,3.4,2019,M04
Iowa,2.7,2019,M04
Kansas,3.2,2019,M04
Kentucky,4.3,2019,M04
Louisiana,4.5,2019,M04
Maine,3.1,2019,M04
Maryland,3.7,2019,M04
Massachusetts,3.0,2019,M04
Michigan,4.3,2019,M04
Minnesota,3.2,2019,M04
Mississippi,5.3,2019,M04
Missouri,3.2,2019,M04
Montana,3.5,2019,M04
Nebraska,3.1,2019,M04
Nevada,4.0,2019,M04
New Hampshire,2.5,2019,M04
New Jersey,3.4,2019,M04
New Mexico,5.0,2019,M04
New York,4.0,2019,M04
North Carolina,4.1,2019,M04
North Dakota,2.3,2019,M04
Ohio,4.1,2019,M04
Oklahoma,3.2,2019,M04
Oregon,4.0,2019,M04
Pennsylvania,4.1,2019,M04
Puerto Rico,8.4,2019,M04
Rhode Island,3.6,2019,M04
South Carolina,3.3,2019,M04
South Dakota,3.2,2019,M04
Tennessee,3.5,2019,M04
Texas,3.5,2019,M04
Utah,2.7,2019,M04
Vermont,2.3,2019,M04
Virginia,2.9,2019,M04
Washington,4.4,2019,M04
West Virginia,4.7,2019,M04
Wisconsin,3.3,2019,M04
Wyoming,3.5,2019,M04
Alabama,3.0,2019,M05
Alaska,6.2,2019,M05
Arizona,4.8,2019,M05
Arkansas,3.5,2019,M05
California,4.1,2019,M05
Colorado,2.8,2019,M05
Connecticut,3.7,2019,M05
Delaware,3.7,2019,M05
District of Columbia,5.5,2019,M05
Florida,3.2,2019,M05
Georgia,3.6,2019,M05
Hawaii,2.7,2019,M05
Idaho,2.9,2019,M05
Illinois,4.1,2019,M05
Indiana,3.3,2019,M05
Iowa,2.7,2019,M05
Kansas,3.1,2019,M05
Kentucky,4.3,2019,M05
Louisiana,4.5,2019,M05
Maine,3.0,2019,M05
Maryland,3.7,2019,M05
Massachusetts,2.9,2019,M05
Michigan,4.2,2019,M05
Minnesota,3.2,2019,M05
Mississippi,5.4,2019,M05
Missouri,3.1,2019,M05
Montana,3.5,2019,M05
Nebraska,3.1,2019,M05
Nevada,4.0,2019,M05
New Hampshire,2.5,2019,M05
New Jersey,3.3,2019,M05
New Mexico,4.9,2019,M05
New York,4.0,2019,M05
North Carolina,4.0,2019,M05
North Dakota,2.4,2019,M05
Ohio,4.1,2019,M05
Oklahoma,3.2,2019,M05
Oregon,3.9,2019,M05
Pennsylvania,4.2,2019,M05
Puerto Rico,8.0,2019,M05
Rhode Island,3.6,2019,M05
South Carolina,3.1,2019,M05
South Dakota,3.3,2019,M05
Tennessee,3.5,2019,M05
Texas,3.4,2019,M05
Utah,2.7,2019,M05
Vermont,2.3,2019,M05
Virginia,2.8,2019,M05
Washington,4.4,2019,M05
West Virginia,4.7,2019,M05
Wisconsin,3.3,2019,M05
Wyoming,3.5,2019,M05
Alabama,2.9,2019,M06
Alaska,6.2,2019,M06
Arizona,4.8,2019,M06
Arkansas,3.6,2019,M06
California,4.0,2019,M06
Colorado,2.7,2019,M06
Connecticut,3.7,2019,M06
Delaware,3.7,2019,M06
District of Columbia,5.4,2019,M06
Florida,3.2,2019,M06
Georgia,3.5,2019,M06
Hawaii,2.7,2019,M06
Idaho,2.9,2019,M06
Illinois,4.0,2019,M06
Indiana,3.3,2019,M06
Iowa,2.7,2019,M06
Kansas,3.1,2019,M06
Kentucky,4.3,2019,M06
Louisiana,4.6,2019,M06
Maine,2.9,2019,M06
Maryland,3.6,2019,M06
Massachusetts,2.9,2019,M06
Michigan,4.2,2019,M06
Minnesota,3.2,2019,M06
Mississippi,5.4,2019,M06
Missouri,3.1,2019,M06
Montana,3.5,2019,M06
Nebraska,3.1,2019,M06
Nevada,3.9,2019,M06
New Hampshire,2.5,2019,M06
New Jersey,3.3,2019,M06
New Mexico,4.9,2019,M06
New York,3.9,2019,M06
North Carolina,4.0,2019,M06
North Dakota,2.4,2019,M06
Ohio,4.1,2019,M06
